1,1-1,爱,ai4,to love; affection; to be fond of; to like,
2,1-2,八,ba1,eight; 8,
3,1-3,爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]",
4,1-4,杯子,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",
5,1-5,北京,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government",
6,1-6,本,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",
8,1-8,不,bu4,(negative prefix); not; no,
7,1-7,不客气,bu4 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it,
9,1-9,菜,cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",
10,1-10,茶,cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",
